Date,Price
1973-01,65.13
1973-02,73.97
1973-03,84.11
1973-04,90.44
1973-05,101.62
1973-06,119.80
1973-07,120.36
1973-08,106.23
1973-09,103.03
1973-10,99.92
1973-11,94.65
1973-12,106.24
1974-01,129.03
1974-02,150.00
1974-03,168.30
1974-04,172.24
1974-05,163.57
1974-06,154.01
1974-07,142.28
1974-08,154.36
1974-09,151.66
1974-10,158.53
1974-11,181.48
1974-12,183.68
1975-01,176.86
1975-02,179.55
1975-03,178.20
1975-04,170.07
1975-05,167.29
1975-06,164.25
1975-07,164.87
1975-08,163.17
1975-09,144.31
1975-10,142.69
1975-11,142.57
1975-12,139.28
1976-01,131.70
1976-02,130.94
1976-03,132.68
1976-04,127.91
1976-05,126.91
1976-06,125.68
1976-07,117.87
1976-08,110.06
1976-09,114.10
1976-10,116.10
1976-11,130.34
1976-12,133.67
1977-01,132.31
1977-02,136.16
1977-03,148.34
1977-04,149.18
1977-05,146.54
1977-06,140.83
1977-07,143.38
1977-08,145.01
1977-09,149.33
1977-10,158.85
1977-11,162.13
1977-12,160.48
1978-01,173.21
1978-02,178.36
1978-03,183.77
1978-04,175.32
1978-05,176.19
1978-06,183.76
1978-07,188.57
1978-08,206.46
1978-09,212.21
1978-10,227.43
1978-11,207.08
1978-12,207.90
1979-01,226.99
1979-02,245.59
1979-03,242.35
1979-04,239.17
1979-05,257.74
1979-06,279.36
1979-07,295.01
1979-08,300.79
1979-09,354.50
1979-10,390.96
1979-11,391.52
1979-12,463.67
1980-01,674.58
1980-02,665.89
1980-03,554.28
1980-04,516.71
1980-05,514.27
1980-06,600.79
1980-07,645.75
1980-08,626.36
1980-09,673.94
1980-10,662.27
1980-11,623.88
1980-12,596.71
1981-01,557.81
1981-02,500.80
1981-03,499.69
1981-04,496.63
1981-05,480.32
1981-06,460.50
1981-07,409.28
1981-08,410.24
1981-09,443.77
1981-10,437.68
1981-11,413.41
1981-12,410.12
1982-01,384.16
1982-02,374.46
1982-03,330.41
1982-04,350.34
1982-05,334.51
1982-06,314.96
1982-07,337.90
1982-08,363.41
1982-09,438.15
1982-10,422.79
1982-11,415.11
1982-12,444.78
1983-01,481.84
1983-02,493.49
1983-03,420.71
1983-04,433.17
1983-05,437.39
1983-06,413.15
1983-07,422.65
1983-08,416.21
1983-09,412.25
1983-10,394.25
1983-11,381.02
1983-12,388.06
1984-01,370.74
1984-02,386.04
1984-03,394.74
1984-04,381.37
1984-05,376.96
1984-06,378.31
1984-07,347.60
1984-08,347.68
1984-09,340.95
1984-10,340.22
1984-11,341.29
1984-12,319.62
1985-01,302.85
1985-02,299.83
1985-03,303.21
1985-04,324.88
1985-05,316.40
1985-06,316.30
1985-07,317.20
1985-08,330.13
1985-09,323.76
1985-10,326.09
1985-11,325.55
1985-12,321.99
1986-01,345.56
1986-02,339.05
1986-03,346.10
1986-04,340.72
1986-05,342.33
1986-06,342.80
1986-07,348.55
1986-08,376.29
1986-09,418.15
1986-10,423.86
1986-11,396.98
1986-12,391.60
1987-01,408.52
1987-02,401.05
1987-03,408.85
1987-04,439.67
1987-05,461.65
1987-06,449.28
1987-07,450.33
1987-08,460.99
1987-09,460.12
1987-10,465.76
1987-11,468.14
1987-12,487.08
1988-01,477.76
1988-02,442.12
1988-03,443.49
1988-04,451.56
1988-05,451.32
1988-06,451.66
1988-07,437.45
1988-08,431.06
1988-09,413.44
1988-10,406.39
1988-11,419.97
1988-12,419.25
1989-01,404.45
1989-02,387.97
1989-03,390.27
1989-04,384.72
1989-05,371.35
1989-06,367.73
1989-07,375.21
1989-08,365.55
1989-09,361.80
1989-10,366.80
1989-11,394.36
1989-12,409.66
1990-01,410.12
1990-02,416.54
1990-03,393.66
1990-04,374.93
1990-05,368.86
1990-06,352.66
1990-07,361.82
1990-08,394.86
1990-09,389.56
1990-10,381.33
1990-11,381.87
1990-12,378.16
1991-01,384.59
1991-02,363.75
1991-03,363.39
1991-04,358.06
1991-05,357.12
1991-06,366.36
1991-07,368.01
1991-08,356.72
1991-09,348.46
1991-10,358.83
1991-11,359.96
1991-12,361.88
1992-01,354.44
1992-02,353.85
1992-03,344.64
1992-04,338.73
1992-05,337.04
1992-06,340.78
1992-07,352.45
1992-08,343.60
1992-09,345.30
1992-10,344.28
1992-11,334.92
1992-12,334.66
1993-01,328.99
1993-02,329.31
1993-03,329.97
1993-04,341.95
1993-05,367.05
1993-06,371.91
1993-07,392.03
1993-08,379.80
1993-09,355.56
1993-10,364.01
1993-11,373.94
1993-12,383.24
1994-01,387.11
1994-02,381.66
1994-03,384.00
1994-04,377.91
1994-05,381.34
1994-06,385.71
1994-07,385.45
1994-08,380.21
1994-09,391.35
1994-10,390.16
1994-11,384.38
1994-12,379.48
1995-01,378.74
1995-02,376.75
1995-03,381.82
1995-04,391.34
1995-05,385.23
1995-06,387.62
1995-07,386.14
1995-08,383.50
1995-09,382.93
1995-10,383.20
1995-11,385.21
1995-12,387.45
1996-01,398.70
1996-02,404.92
1996-03,396.51
1996-04,392.87
1996-05,391.99
1996-06,385.25
1996-07,383.46
1996-08,387.51
1996-09,383.29
1996-10,380.91
1996-11,377.87
1996-12,369.34
1997-01,355.03
1997-02,346.40
1997-03,352.31
1997-04,344.71
1997-05,344.10
1997-06,340.81
1997-07,323.78
1997-08,324.00
1997-09,322.62
1997-10,324.86
1997-11,306.35
1997-12,288.78
1998-01,289.26
1998-02,297.74
1998-03,295.87
1998-04,308.56
1998-05,298.97
1998-06,292.22
1998-07,292.87
1998-08,284.23
1998-09,288.66
1998-10,296.60
1998-11,294.24
1998-12,291.36
1999-01,287.33
1999-02,287.50
1999-03,286.24
1999-04,282.62
1999-05,276.93
1999-06,261.40
1999-07,256.20
1999-08,256.94
1999-09,264.47
1999-10,311.56
1999-11,293.65
1999-12,283.74
2000-01,284.59
2000-02,300.86
2000-03,286.70
2000-04,279.96
2000-05,275.29
2000-06,285.37
2000-07,282.15
2000-08,274.52
2000-09,273.68
2000-10,270.41
2000-11,265.99
2000-12,271.89
2001-01,265.93
2001-02,262.02
2001-03,263.27
2001-04,260.75
2001-05,272.06
2001-06,270.74
2001-07,267.71
2001-08,272.66
2001-09,282.48
2001-10,283.32
2001-11,276.25
2001-12,275.99
2002-01,281.76
2002-02,295.68
2002-03,294.35
2002-04,302.86
2002-05,314.48
2002-06,321.54
2002-07,313.57
2002-08,310.05
2002-09,318.80
2002-10,316.75
2002-11,319.26
2002-12,333.30
2003-01,356.86
2003-02,359.58
2003-03,341.56
2003-04,328.21
2003-05,355.41
2003-06,356.91
2003-07,350.77
2003-08,358.99
2003-09,378.86
2003-10,379.09
2003-11,390.20
2003-12,407.67
2004-01,414.50
2004-02,404.73
2004-03,405.98
2004-04,404.85
2004-05,383.95
2004-06,391.78
2004-07,398.44
2004-08,400.13
2004-09,405.40
2004-10,420.21
2004-11,439.06
2004-12,442.97
2005-01,424.08
2005-02,423.43
2005-03,434.36
2005-04,429.14
2005-05,422.90
2005-06,430.30
2005-07,424.75
2005-08,437.77
2005-09,455.94
2005-10,470.11
2005-11,476.67
2005-12,509.42
2006-01,549.43
2006-02,555.52
2006-03,557.22
2006-04,611.85
2006-05,676.77
2006-06,597.90
2006-07,633.09
2006-08,631.56
2006-09,600.15
2006-10,586.65
2006-11,626.83
2006-12,629.51
2007-01,630.35
2007-02,665.10
2007-03,655.89
2007-04,680.01
2007-05,668.31
2007-06,655.71
2007-07,665.27
2007-08,664.53
2007-09,710.65
2007-10,754.48
2007-11,808.31
2007-12,803.62
2008-01,887.78
2008-02,924.28
2008-03,971.06
2008-04,911.60
2008-05,889.13
2008-06,889.54
2008-07,941.17
2008-08,840.39
2008-09,824.92
2008-10,812.82
2008-11,757.85
2008-12,819.94
2009-01,857.73
2009-02,939.76
2009-03,925.99
2009-04,892.66
2009-05,926.86
2009-06,947.81
2009-07,934.27
2009-08,949.50
2009-09,996.44
2009-10,"1,043.51"
2009-11,"1,126.12"
2009-12,"1,135.01"
2010-01,"1,119.58"
2010-02,"1,095.80"
2010-03,"1,115.55"
2010-04,"1,148.48"
2010-05,"1,204.32"
2010-06,"1,232.38"
2010-07,"1,196.00"
2010-08,"1,213.46"
2010-09,"1,271.46"
2010-10,"1,343.19"
2010-11,"1,371.78"
2010-12,"1,393.51"
2011-01,"1,360.48"
2011-02,"1,371.31"
2011-03,"1,422.85"
2011-04,"1,474.43"
2011-05,"1,512.19"
2011-06,"1,528.38"
2011-07,"1,568.53"
2011-08,"1,759.50"
2011-09,"1,780.65"
2011-10,"1,667.89"
2011-11,"1,735.98"
2011-12,"1,652.73"
2012-01,"1,656.10"
2012-02,"1,743.10"
2012-03,"1,675.06"
2012-04,"1,648.54"
2012-05,"1,585.11"
2012-06,"1,595.63"
2012-07,"1,592.78"
2012-08,"1,625.68"
2012-09,"1,741.93"
2012-10,"1,746.35"
2012-11,"1,724.35"
2012-12,"1,687.34"
2013-01,"1,671.89"
2013-02,"1,630.69"
2013-03,"1,591.01"
2013-04,"1,485.91"
2013-05,"1,416.14"
2013-06,"1,342.70"
2013-07,"1,284.35"
2013-08,"1,345.05"
2013-09,"1,348.46"
2013-10,"1,314.40"
2013-11,"1,277.42"
2013-12,"1,221.59"
2014-01,"1,243.07"
2014-02,"1,298.71"
2014-03,"1,336.56"
2014-04,"1,299.18"
2014-05,"1,288.91"
2014-06,"1,277.86"
2014-07,"1,312.99"
2014-08,"1,297.01"
2014-09,"1,241.33"
2014-10,"1,223.57"
2014-11,"1,176.41"
2014-12,"1,200.44"
2015-01,"1,249.33"
2015-02,"1,231.10"
2015-03,"1,180.64"
2015-04,"1,198.25"
2015-05,"1,197.68"
2015-06,"1,182.25"
2015-07,"1,131.58"
2015-08,"1,117.53"
2015-09,"1,124.91"
2015-10,"1,157.12"
2015-11,"1,088.39"
2015-12,"1,068.32"
2016-01,"1,095.66"
2016-02,"1,194.89"
2016-03,"1,246.31"
2016-04,"1,241.45"
2016-05,"1,259.76"
2016-06,"1,273.58"
2016-07,"1,337.43"
2016-08,"1,340.86"
2016-09,"1,326.62"
2016-10,"1,268.93"
2016-11,"1,240.29"
2016-12,"1,152.17"
2017-01,"1,192.65"
2017-02,"1,233.39"
2017-03,"1,231.06"
2017-04,"1,267.15"
2017-05,"1,245.25"
2017-06,"1,261.28"
2017-07,"1,235.10"
2017-08,"1,281.72"
2017-09,"1,317.05"
2017-10,"1,280.68"
2017-11,"1,283.19"
2017-12,"1,265.67"
2018-01,"1,332.81"
2018-02,"1,333.78"
2018-03,"1,325.56"
2018-04,"1,335.33"
2018-05,"1,303.62"
2018-06,"1,282.13"
2018-07,"1,238.06"
2018-08,"1,201.86"
2018-09,"1,199.20"
2018-10,"1,214.73"
2018-11,"1,221.28"
2018-12,"1,249.89"
2019-01,"1,291.63"
2019-02,"1,319.76"
2019-03,"1,302.29"
2019-04,"1,287.65"
2019-05,"1,282.46"
2019-06,"1,358.49"
2019-07,"1,414.61"
2019-08,"1,497.10"
2019-09,"1,510.34"
2019-10,"1,494.77"
2019-11,"1,471.92"
2019-12,"1,480.03"
2020-01,"1,560.67"
2020-02,"1,598.82"
2020-03,"1,593.76"
2020-04,"1,680.03"
2020-05,"1,715.70"
2020-06,"1,734.03"
2020-07,"1,840.81"
